YEAR,MO,DY,HR,WS10M,WD10M,WS50M,WD50M
2021,1,1,1,2.82,194.11,5.95,194.44
2021,1,1,2,2.72,193.96,5.62,194.07
2021,1,1,3,2.56,194.33,5.27,194.32
2021,1,1,4,2.35,197.05,4.85,197.03
2021,1,1,5,2.19,202.9,4.42,202.8
2021,1,1,6,1.99,210.89,3.94,210.94
2021,1,1,7,1.83,222.06,3.52,222.03
2021,1,1,8,1.77,233.64,3.28,233.81
2021,1,1,9,1.59,244.69,3.19,244.75
2021,1,1,10,2.07,246.91,2.88,246.64
2021,1,1,11,2.22,242.8,2.73,243.29
2021,1,1,12,2.51,246.94,3.12,248.07
2021,1,1,13,2.58,251.62,3.35,252.07
2021,1,1,14,1.8,248.66,3.52,248.95
2021,1,1,15,2.34,245.75,3.98,246.0
2021,1,1,16,2.65,243.96,4.45,244.2
2021,1,1,17,2.79,243.94,4.94,244.04
2021,1,1,18,2.85,245.33,5.39,245.59
2021,1,1,19,2.82,246.84,5.72,247.11
2021,1,1,20,2.86,249.04,6.02,249.4
2021,1,1,21,2.87,250.92,6.11,251.06
2021,1,1,22,2.87,251.12,6.12,251.47
2021,1,1,23,2.89,248.23,6.09,248.57
2021,1,2,0,2.93,243.09,6.17,243.47
2021,1,2,1,2.98,237.1,6.27,237.32
2021,1,2,2,3.0,232.5,6.29,232.42
2021,1,2,3,3.01,229.11,6.3,229.07
2021,1,2,4,2.99,226.8,6.28,226.82
2021,1,2,5,3.01,224.37,6.25,224.34
2021,1,2,6,2.99,223.84,6.14,223.92
2021,1,2,7,2.9,226.85,5.85,227.0
2021,1,2,8,2.72,230.95,5.32,231.02
2021,1,2,9,3.03,235.41,4.25,235.64
2021,1,2,10,2.59,236.07,3.05,236.59
2021,1,2,11,2.07,236.37,2.48,237.46
2021,1,2,12,1.76,238.43,2.08,238.7
2021,1,2,13,1.26,236.6,1.5,235.81
2021,1,2,14,0.63,228.54,0.86,226.85
2021,1,2,15,0.29,172.3,0.39,173.16
2021,1,2,16,0.6,110.56,0.81,109.65
2021,1,2,17,1.08,97.9,1.57,97.44
2021,1,2,18,1.57,90.86,2.47,90.54
2021,1,2,19,1.96,87.25,3.47,87.16
2021,1,2,20,2.12,89.79,4.31,89.69
2021,1,2,21,2.64,90.68,4.52,90.69
2021,1,2,22,3.15,85.31,4.31,85.63
